Unnamed: 0,text,labels
81, I have difficulty writing  about topics  other than sports.,"[1, 1, 1, 1, 3, 3, 3, 3, 3]"
82," If my parents had helped me , I could have attended a college  in the city .","[2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 0]"
83, I would have had the opportunity  to receive a good education .,"[1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
84," My parents , who are both doctors , used to volunteer  when I was a child .","[1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
85, I grew up with the mindset  that I can be a light  in others lives .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
86," Therefore, I am living a life  that values the happiness of everyone .","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
87, The local community center is a place  where my ideas can come to life .,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
88," Since I majored in education , I try to make education available  for everyone , including those who are less privileged.","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3]"
89, I believe that the biggest gift  that I can give others  is education .,"[0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 0]"
90, Education provides a path  to a bright future .,"[1, 1, 1, 1, 3, 3, 3, 3, 0]"
91," My parents , who work endless hours , run a successful family business.","[1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1]"
92," They say,  you should never ignore those  in need .","[0, 0, 0, 1, 1, 1, 1, 1, 3, 3, 0]"
93, They introduced me  to the local community center .,"[1, 1, 1, 3, 3, 3, 3, 3, 0]"
94, I used to play with children  from shelters .,"[1, 1, 1, 1, 1, 1, 3, 3, 0]"
95," Then, I met my lifelong friends  who always support me .","[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
96, We sometimes volunteer  for the same projects .,"[1, 1, 1, 3, 3, 3, 3, 0]"
97, Seeing my friends succeed gives me hope  that other children can follow  in their paths .,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 0]"
98, It makes me sad  to see people suffer. ,"[1, 1, 1, 1, 4, 4, 4, 4]"
99, I wish our country had a good system  that helps everyone  who is in poor conditions .,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
100, Some social workers  in the private sector  try to steal opportunities  from these people .,"[1, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 3, 3, 0]"
101, I dont understand  how their mind works .,"[1, 1, 1, 2, 2, 2, 2, 0]"
102, I think that they are the ones  who are most miserable  because their mind is filled  with selfishness.,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
103," Instead, we can work together  to create a better future  for them .","[0, 1, 1, 1, 1, 4, 4, 4, 4, 4, 3, 3, 0]"
104, The first thing  that I want to start doing  is to help them  to free their mind .,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 4, 4, 4, 4, 0]"
105," Johns mother , who is known for her powerful voice , is a singer .","[1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 0]"
106," Hence, he was born  into a world of music .","[0, 1, 1, 1, 3, 3, 3, 3, 3, 0]"
107, John has always loved music  since he was a child .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
108, He was a selftaught musician  who spent hours every day practicing different instruments.,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
109," Eventually, he fell in love  with the guitar .","[0, 1, 1, 1, 1, 3, 3, 3, 0]"
110," As Johns musical abilities grew , he became interested in composing music  for film and television.","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3]"
111, He found success  in this field  as well .,"[1, 1, 1, 3, 3, 3, 3, 3, 0]"
112, He watched videos of famous guitarists  to learn their techniques .,"[1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 0]"
113, He was a determined young man  who worked tirelessly  to achieve his goals .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 0]"
114," Because of his hard work , he earned a full scholarship  to attend college .","[3, 3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 4, 4, 4, 0]"
115, His attendance  at the same college  where his mother had graduated  was a rare opportunity.,"[1, 1, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1]"
116," During his college years , he met a group of students  who also wanted to form a band . ","[3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
117, His band began performing  at local events .,"[1, 1, 1, 1, 3, 3, 3, 0]"
118," The guitar , which he had saved up for months to buy , was his most prized possession .","[1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 0]"
119, Johns interest  in music  was not supported  due to his mothers lack of success .,"[1, 1, 3, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 0]"
120, His father encouraged him  to pursue a career  in science instead.,"[1, 1, 1, 1, 4, 4, 4, 4, 3, 3, 0]"
121," Johns father , who had always dreamed of his son following in his footsteps , was disappointed.","[1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1]"
122," Since John was unable to receive formal music lessons , he had to practice  in secret .","[2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 3, 3, 0]"
123," His father , who was a farmer ,  took a long time  to trust him .","[1, 1, 0, 2, 2, 2, 2, 0, 1, 1, 1, 1, 4, 4, 4, 0]"
124," Additionally, when John began to succeed , he faced several unexpected challenges .","[0, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 0]"
125," For example, there was a member  who always got into trouble .","[0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
126, I was not a good student  who excelled  in school .,"[1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 0]"
127, But I had a strong desire  to learn a lot of things .,"[0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 0]"
128, I was interested in computer science  because I admired  how fast technologies evolved .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
129, My sisters advice  about finding your own method  changed my life .,"[1, 1, 1, 3, 3, 3, 3, 3, 1, 1, 1, 0]"
130, My grades improved  after I figured out my learning methods .,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 0]"
131, And I graduated  with honors  from high school .,"[0, 1, 1, 3, 3, 3, 3, 3, 0]"
132," On my graduation day , my sister was the first person  who I wanted to thank .","[3, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
133, I ended up majoring in software engineering  with the help of my hard work and effort .,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0]"
134, The learning methods  that I found in high school  still worked to excel  in my studies  in college.,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
135," I noticed that asking questions, experimenting, observing, and reflecting were skills  that helped me  to learn and adapt to new technologies quickly .","[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0]"
136," I started sharing my techniques  with my coworkers, friends, and family .","[1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 0]"
137, I found that many of them were experiencing the same difficulties  that I had .,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0]"
138, I showed them  how to apply these methods  to their own lives .,"[1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
139," And I explained  how it can help them  in their education, career, and personal development.","[0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3]"
140, I found out that my methods dont work  for everyone .,"[0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 0]"
141," Traditional methods , such as reading or listening to lectures , are effective  for some people.","[1, 1, 0, 3, 3, 3, 3, 3, 3, 3, 0, 1, 1, 3, 3, 3]"
142," However, people have different ways  to learn .","[0, 1, 1, 1, 1, 4, 4, 0]"
143, I agree that subjects  like mathematics and physics  require different approaches .,"[0, 0, 0, 1, 3, 3, 3, 3, 1, 1, 1, 0]"
144, They require more theoretical understanding  that can be achieved  through reading and listening.,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3]"
145," Additionally, some people  who are shy  may find it harder  to ask questions .","[0, 1, 1, 2, 2, 2, 1, 1, 1, 1, 4, 4, 4, 0]"
146," Therefore, people need to find their own learning method  to be effective .","[0, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 0]"
147, I was an extroverted girl  who always spent time with others .,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 0]"
148, But moving to a new city  with my family  significantly changed my life .,"[0, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 0]"
149, I was stressed  from moving into a new place  where I don’t know a single person .,"[1, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 0]"
150, And I began to develop unhealthy eating habits  that affected my wellbeing .,"[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 0]"
151," Often, I found myself reminiscing about the past  when I used to hang out with my old friends .","[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]"
152," After a while , my mother noticed that I was not doing well .","[3, 3, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]"
153," Then, she gave me the most valuable advice  that I still cannot forget .","[0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
154, I  became an introvert  who cant even go shopping .,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 0]"
155, The stress of this transition caused me to gain a lot of weight  without stopping .,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 0]"
156, The moment  when I realized I had become an introvert  was my senior year of high school .,"[1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 0]"
157," When Im with my classmates , I can not focus solely on one thing .","[2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
158, And Id be out of energy  if I didnt take a break  to be alone .,"[0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 4, 4, 4, 0]"
159," So, I practiced exercise and meditation  to feel calm and fulfilled .","[0, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 0]"
160, My mothers demand  that I should make new friends  at school  as soon as possible  overwhelmed me.,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 1, 1]"
161, There would not be any problems  if she let me figure it out  at my own pace .,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
162," Because of this event , Ive become someone  who lives in the past  all of the time.","[3, 3, 3, 3, 0, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]"
163, I assume that my life  in the old city  was better  than in the new one .,"[0, 0, 0, 1, 1, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 0]"
164, This event  during my teenage years  had an impact on my later life as well .,"[1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
165, Its difficult  for me  to make connections  to advance my career .,"[1, 1, 3, 3, 4, 4, 4, 4, 4, 4, 4, 0]"
166," Now, I just wish I could be an ambivert  who can fit in both worlds .","[0, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 0]"
167, Practicing gratitude is also one way  to become happy.,"[1, 1, 1, 1, 1, 1, 4, 4, 4]"
168, It’s impossible  to feel grateful and be unhappy  at the same time.,"[1, 1, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3]"
169," To practice mindfulness,  you can start  by removing things  that distract you from your environment like social media, TV, and radio.","[4, 4, 4, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]"
170, The next step is quieting your thoughts  that stay  at the back of your head.,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3]"
171," Instead, trying to focus on your breath will distract you  from your thoughts .","[0, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 0]"
172, Doing some exercise  to feel your body is good.,"[1, 1, 1, 4, 4, 4, 4, 1, 1]"
173," When you go for a walk  in nature,  you can try to observe the sights and sounds of your surroundings.","[2, 2, 2, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
174, Learning  how to enjoy life  to the fullest is the best skill  that you can master.,"[1, 2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 2, 2, 2]"
175," Being grateful can improve selfesteem, reduce negative emotions  like jealousy, resentment, and helplessness.","[1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]"
176," People  who practice gratitude  also tend to take better care of their health, exercise more and sleep better.","[1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
177," Mindfulness,  which is said to be a good way  to reduce the risk of major depression , should be practiced by everyone.","[1, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 0, 1, 1, 1, 3, 3]"
178," Instead of dwelling on your past, allowing yourself to be thankful  for whatever happened  is a form of selfgratitude.","[3, 3, 3, 3, 3, 3, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1]"
179, Theres nothing  that you can do  about the past  except to learn  from it and express your gratitude.,"[1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
180, The best way to deal with adversity is to practice gratitude.,"[1, 1, 1, 4, 4, 4, 4, 1, 1, 1, 1]"
181, The best way  to enjoy life  comes  from within. ,"[1, 1, 1, 4, 4, 4, 1, 3, 3]"
182, It’s hard  to enjoy life every day  if you never put your own needs as a priority.,"[1, 1, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]"
183," If you want to feel content and peaceful , you need time  for chill activities  like relaxing and having fun.","[2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3]"
184," When the next time someone asks you to do something  that you don’t want to do , you should consider saying no.","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 1, 1]"
185, You don’t know what will happen in the future.,"[1, 1, 1, 2, 2, 2, 3, 3, 3]"
186, You should be prepared  for the surprises  life will give you .,"[1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 0]"
187, You cannot pour  from an empty cup.,"[1, 1, 1, 3, 3, 3, 3]"
188, The term digital art is used to describe visual art  that is made  with digital tools and technologies.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]"
189, Digital visual art includes 2D visual information  that is displayed  on an electronic visual display.,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]"
190, The information can also be mathematically translated  into 3D information  that is viewed through projection.,"[1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 3, 3]"
191, The simplest digital art is 2D computer graphics  which reflect how you draw  by using a pencil and a piece of paper.,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
192, The screen becomes a window  into a virtual environment.,"[1, 1, 1, 1, 1, 3, 3, 3, 3]"
193, 3D computer graphics use vector graphics to create immersive virtual reality . ,"[1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4]"
194, 3D graphics are created  by the process of imagery  to create threedimensional objects and scenes which are used in various media .,"[1, 1, 1, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 0]"
